Party;Date;# of Seats;% of Seats;# of Votes;% of Votes
PL - Progressive List (Progressive List, PL);23. Jun 92;0;0;24181;0.9
Hadash - Hadash (Hadash, Hadash);17-May-99;3;02. Mai;87022;02. Jun
Raam - Ra'am (Ra'am, Raam);28. Jan 03;2;01. Jul;65551;02. Jan
Raam-Taal - Ra'am/Ta'al (Ra'am/Ta'al, Raam-Taal);28-Mar-06;4;03. Mrz;94786;3
Raam-Taal - Ra'am/Ta'al (Ra'am/Ta'al, Raam-Taal);10. Feb 09;4;03. Mrz;113954;03. Apr
Raam-Taal - Ra'am/Ta'al (Ra'am/Ta'al, Raam-Taal);22. Jan 13;4;03. Mrz;138450;03. Jul
Raash - Ra'ash (Ra'ash, Raash);29-May-96;0;0;2338;0.1
RB - Ra'am Balad (Ra'am Balad, RB);09. Apr 19;4;03. Mrz;143666;03. Mrz
Shas - Sephardi Torah Guardians (Shas, Shas);23. Jun 92;6;05. Sep;129347;5
Shas - Sephardi Torah Guardians (Shas, Shas);29-May-96;10;08. Mrz;259796;08. Mai
AE - Am Ehad (Am Ehad, AE);17-May-99;2;01. Jul;64143;01. Sep
Shas - Sephardi Torah Guardians (Shas, Shas);28. Jan 03;11;09. Feb;258879;08. Feb
Shas - Sephardi Torah Guardians (Shas, Shas);28-Mar-06;12;10;299054;09. Mai
Shas - Sephardi Torah Guardians (Shas, Shas);10. Feb 09;11;09. Feb;286300;08. Mai
Shas - Sephardi Torah Guardians (Shas, Shas);22. Jan 13;11;09. Feb;331868;08. Aug
Shas - Sephardi Torah Guardians (Shas, Shas);19-Mar-15;7;05. Aug;241200;05. Jul
Shas - Sephardi Torah Guardians (Shas, Shas);09. Apr 19;8;06. Jul;258275;6
Shas - Sephardi Torah Guardians (Shas, Shas);17. Sep 19;9;07. Mai;330199;07. Apr
Shas - Sephardi Torah Guardians (Shas, Shas);2-Mar-20;9;07. Mai;352853;07. Jul
Balad - Balad (Balad, Balad);17-May-99;2;01. Jul;66103;2
Shinui - Shinui (Shinui, Shinui);28. Jan 03;15;12. Mai;386535;12. Mrz
Shinui - Shinui (Shinui, Shinui);28-Mar-06;0;0;4675;0.1
Tafnit - Turnaround (Tafnit, Tafnit);28-Mar-06;0;0;18753;0.6
Tehiya - Renaissance Movement (Tehiya, Tehiya);23. Jun 92;0;0;31957;01. Feb
ThirdWay - The Third Way (The Third Way, ThirdWay);29-May-96;4;03. Mrz;96474;03. Feb
Greens - Greens (Greens, Greens);17-May-99;0;0;13292;0.4
ThirdWay - The Third Way (The Third Way, ThirdWay);28-Mar-06;0;0;47595;01. Mai
Tsomet - Crossroads (Tsomet, Tsomet);23. Jun 92;8;06. Jul;166366;06. Apr
UTJ - United Torah Judaism (United Torah Judaism, UTJ);10. Feb 09;5;04. Feb;147954;04. Apr
UTJ - United Torah Judaism (United Torah Judaism, UTJ);22. Jan 13;7;05. Aug;195892;05. Feb
UTJ - United Torah Judaism (United Torah Judaism, UTJ);19-Mar-15;6;5;211826;5
UTJ - United Torah Judaism (United Torah Judaism, UTJ);09. Apr 19;8;06. Jul;249049;05. Aug
UTJ - United Torah Judaism (United Torah Judaism, UTJ);17. Sep 19;7;05. Aug;268775;06. Jan
UTJ - United Torah Judaism (United Torah Judaism, UTJ);2-Mar-20;7;05. Aug;274437;6
Y - Together (Yachad, Y);19-Mar-15;0;0;125106;3
Y - United Right (Yamina, Y);09. Apr 19;5;04. Feb;159468;03. Jul
Y - United Right (Yamina, Y);17. Sep 19;7;05. Aug;260655;05. Sep
Y - United Right (Yamina, Y);2-Mar-20;6;5;240689;05. Feb
YAP - Y. Azran's Party (Y. Azran's Party, YAP);29-May-96;0;0;12737;0.4
YBA - Yisrael Ba'aliya (Yisrael Ba'aliya, YBA);29-May-96;7;05. Aug;174994;05. Jul
Others - Others (Others, Others);17-May-99;0;0;157511;04. Aug
YBA - Yisrael Ba'aliya (Yisrael Ba'aliya, YBA);28. Jan 03;2;01. Jul;67719;02. Feb
